"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Autonomous Endoscope Control Algorithm with Visibility and Joint Limits Avoidance Constraints for da Vinci Research Kit Robot","R. Moccia; F. Ficuciello","Department of Information Technology and Electrical Engineering, Università degli Studi di Napoli Federico II, Napoli, Italy; Department of Information Technology and Electrical Engineering, Università degli Studi di Napoli Federico II, Napoli, Italy",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","776","781","This paper presents a novel autonomous endoscope control method for the dVRK's Endoscopic Camera Manipulator (ECM), which allows the camera to track the surgical instruments on the Patient Side Manipulator (PSM). An Image-based Visual Servoing (IBVS) is enforced by the addition of a visibility constraint that ensures the identified surgical tool remains in the camera's Field Of View (FOV) for the continued availability of image feedback and a joint limits avoidance constraint that prevents the ECM from exceeding its joint limits. The work relies on an optimization approach, with constraints performed using the Control Barrier Functions concept (CBFs). The goal is to minimize the surgeon's cognitive and physical workload by removing the time-consuming job of camera reorientation, offering an enforced method compared to the traditional IBVS endoscopic camera controller.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160510","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160510","","Deep learning;Automation;Endoscopes;Instruments;Surgery;Cameras;Manipulators","","10","","20","IEEE","4 Jul 2023","29 May-2 June 2023","29 May-2 June 2023","IEEE","IEEE Conferences"
"Inverse Reinforcement Learning Framework for Transferring Task Sequencing Policies from Humans to Robots in Manufacturing Applications","O. M. Manyar; Z. McNulty; S. Nikolaidis; S. K. Gupta","Realization of Robotic Systems Lab, University of Southern California, Los Angeles, CA, USA; Realization of Robotic Systems Lab, University of Southern California, Los Angeles, CA, USA; Department of Computer Science, University of Southern California, Los Angeles, CA, USA; Realization of Robotic Systems Lab, University of Southern California, Los Angeles, CA, USA",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","849","856","In this work, we present an inverse reinforcement learning approach for solving the problem of task sequencing for robots in complex manufacturing processes. Our proposed framework is adaptable to variations in process and can perform sequencing for entirely new parts. We prescribe an approach to capture feature interactions in a demonstration dataset based on a metric that computes feature interaction coverage. We then actively learn the expert's policy by keeping the expert in the loop. Our training and testing results reveal that our model can successfully learn the expert's policy. We demonstrate the performance of our method on a real-world manufacturing application where we transfer the policy for task sequencing to a manipulator. Our experiments show that the robot can perform these tasks to produce human-competitive performance. Code and video can be found at: https://sites.google.com/usc.edu/irlfortasksequencing","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160687","National Science Foundation(grant numbers:1925084); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160687","","Measurement;Training;Sequential analysis;Manufacturing processes;Reinforcement learning;Robustness;Manufacturing","","8","","35","IEEE","4 Jul 2023","29 May-2 June 2023","29 May-2 June 2023","IEEE","IEEE Conferences"
"Learning State Conditioned Linear Mappings for Low-Dimensional Control of Robotic Manipulators","M. Przystupa; K. Johnstonbaugh; Z. Zhang; L. Petrich; M. Dehghan; F. Haghverd; M. Jagersand","Department of Computing Science, University of Alberta, Edmonton AB, Canada; Department of Computing Science, University of Alberta, Edmonton AB, Canada; Department of Computing Science, University of Alberta, Edmonton AB, Canada; Department of Computing Science, University of Alberta, Edmonton AB, Canada; Department of Computing Science, University of Alberta, Edmonton AB, Canada; Department of Computing Science, University of Alberta, Edmonton AB, Canada; Department of Computing Science, University of Alberta, Edmonton AB, Canada",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","857","863","Identifying an appropriate task space can simplify solving robotic manipulation problems. One solution is deploying control algorithms in a learned low-dimensional action space. Linear and nonlinear action mapping methods have trade-offs between simplicity and the ability to express motor commands outside of a single low-dimensional subspace. We propose that learning local linear action representations can achieve both of these benefits. Our state-conditioned linear maps ensure that for any given state, the high-dimensional robotic actuation is linear in the low-dimensional actions. As the robot state evolves, so do the action mappings, so that necessary motions can be performed during a task. These local linear representations guarantee desirable theoretical properties by design. We validate these findings empirically through two user studies. Results suggest state-conditioned linear maps outperform conditional autoencoder and PCA baselines on a pick-and-place task and perform comparably to mode switching in a more complex pouring task.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160585","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160585","","Manifolds;Navigation;Linearity;Switches;Reinforcement learning;Aerospace electronics;Manipulators","","5","","35","IEEE","4 Jul 2023","29 May-2 June 2023","29 May-2 June 2023","IEEE","IEEE Conferences"
"Decoupling Skill Learning from Robotic Control for Generalizable Object Manipulation","K. Lu; B. Yang; B. Wang; A. Markham","Department of Computer Science, University of Oxford, Oxford, UK; Department of Computing, vLAR Group, Hong Kong Polytechnic University, HKSAR; Department of Computer Science, University of Oxford, Oxford, UK; Department of Computer Science, University of Oxford, Oxford, UK",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","864","870","Recent works in robotic manipulation through reinforcement learning (RL) or imitation learning (IL) have shown potential for tackling a range of tasks e.g., opening a drawer or a cupboard. However, these techniques generalize poorly to unseen objects. We conjecture that this is due to the high-dimensional action space for joint control. In this paper, we take an alternative approach and separate the task of learning ‘what to do’ from ‘how to do it’ i.e., whole-body control. We pose the RL problem as one of determining the skill dynamics for a disembodied virtual manipulator interacting with articulated objects. The whole-body robotic kinematic control is optimized to execute the high-dimensional joint motion to reach the goals in the workspace. It does so by solving a quadratic programming (QP) model with robotic singularity and kinematic constraints. Our experiments on manipulating complex articulated objects show that the proposed approach is more generalizable to unseen objects with large intra-class variations, outperforming previous approaches. The evaluation results indicate that our approach generates more compliant robotic motion and outperforms the pure RL and IL baselines in task success rates. Additional information and videos are available at https://kl-research.github.io/decoupskill.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160332","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160332","","Training;Robot motion;Dynamics;Kinematics;Reinforcement learning;Trajectory;Quadratic programming","","6","","33","IEEE","4 Jul 2023","29 May-2 June 2023","29 May-2 June 2023","IEEE","IEEE Conferences"
"Comparison of Model-Based and Model-Free Reinforcement Learning for Real-World Dexterous Robotic Manipulation Tasks","D. Valencia; J. Jia; R. Li; A. Hayashi; M. Lecchi; R. Terezakis; T. Gee; M. Liarokapis; B. A. MacDonald; H. Williams","Centre for Automation and Robotic Engineering Science, The University of Auckland, New Zealand; Centre for Automation and Robotic Engineering Science, The University of Auckland, New Zealand; Centre for Automation and Robotic Engineering Science, The University of Auckland, New Zealand; New Dexterity Research Group, The University of Auckland, New Zealand; New Dexterity Research Group, The University of Auckland, New Zealand; New Dexterity Research Group, The University of Auckland, New Zealand; Centre for Automation and Robotic Engineering Science, The University of Auckland, New Zealand; New Dexterity Research Group, The University of Auckland, New Zealand; Centre for Automation and Robotic Engineering Science, The University of Auckland, New Zealand; Centre for Automation and Robotic Engineering Science, The University of Auckland, New Zealand",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","871","878","Model Free Reinforcement Learning (MFRL) has shown significant promise for learning dexterous robotic manipulation tasks, at least in simulation. However, the high number of samples, as well as the long training times, prevent MFRL from scaling to complex real-world tasks. Model- Based Reinforcement Learning (MBRL) emerges as a potential solution that, in theory, can improve the data efficiency of MFRL approaches. This could drastically reduce the training time of MFRL, and increase the application of RL for real- world robotic tasks. This article presents a study on the feasibility of using the state-of-the-art MBRL to improve the training time for two real-world dexterous manipulation tasks. The evaluation is conducted on a real low-cost robot gripper where the predictive model and the control policy are learned from scratch. The results indicate that MBRL is capable of learning accurate models of the world, but does not show clear improvements in learning the control policy in the real world as prior literature suggests should be expected.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160983","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160983","","Training;Automation;Reinforcement learning;Predictive models;Data models;Proposals;Task analysis","","14","","53","IEEE","4 Jul 2023","29 May-2 June 2023","29 May-2 June 2023","IEEE","IEEE Conferences"
"Handling Sparse Rewards in Reinforcement Learning Using Model Predictive Control","M. Dawood; N. Dengler; J. de Heuvel; M. Bennewitz","Humanoid Robots Lab., University of Bonn, Germany; Humanoid Robots Lab., University of Bonn, Germany; Humanoid Robots Lab., University of Bonn, Germany; Humanoid Robots Lab., University of Bonn, Germany",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","879","885","Reinforcement learning (RL) has recently proven great success in various domains. Yet, the design of the reward function requires detailed domain expertise and tedious fine-tuning to ensure that agents are able to learn the desired behaviour. Using a sparse reward conveniently mitigates these challenges. However, the sparse reward represents a challenge on its own, often resulting in unsuccessful training of the agent. In this paper, we therefore address the sparse reward problem in RL. Our goal is to find an effective alternative to reward shaping, without using costly human demonstrations, that would also be applicable to a wide range of domains. Hence, we propose to use model predictive control (MPC) as an experience source for training RL agents in sparse reward environments. Without the need for reward shaping, we successfully apply our approach in the field of mobile robot navigation both in simulation and real-world experiments with a Kuboki Turtlebot 2. We furthermore demonstrate great improvement over pure RL algorithms in terms of success rate as well as number of collisions and timeouts. Our experiments show that MPC as an experience source improves the agent's learning process for a given task in the case of sparse rewards.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10161492","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10161492","","Training;Automation;Navigation;Reinforcement learning;Prediction algorithms;Mobile robots;Collision avoidance","","11","","37","IEEE","4 Jul 2023","29 May-2 June 2023","29 May-2 June 2023","IEEE","IEEE Conferences"
"Task-Driven Graph Attention for Hierarchical Relational Object Navigation","M. Lingelbach; C. Li; M. Hwang; A. Kurenkov; A. Lou; R. Martín-Martín; R. Zhang; L. Fei-Fei; J. Wu","Department of Computer Science, Stanford University, CA, USA; Department of Computer Science, Stanford University, CA, USA; Department of Computer Science, Stanford University, CA, USA; Department of Computer Science, Stanford University, CA, USA; Department of Computer Science, Stanford University, CA, USA; University of Texas at Austin, TX, USA; Department of Computer Science, Stanford University, CA, USA; Department of Computer Science, Stanford University, CA, USA; Department of Computer Science, Stanford University, CA, USA",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","886","893","Embodied AI agents in large scenes often need to navigate to find objects. In this work, we study a naturally emerging variant of the object navigation task, hierarchical relational object navigation (HRON), where the goal is to find objects specified by logical predicates organized in a hierarchical structure-objects related to furniture and then to rooms-such as finding an apple on top of a table in the kitchen. Solving such a task requires an efficient representation to reason about object relations and correlate the relations in the environment and in the task goal. HRON in large scenes (e.g. homes) is particularly challenging due to its partial observability and long horizon, which invites solutions that can compactly store the past information while effectively exploring the scene. We demonstrate experimentally that scene graphs are the best-suited representation compared to conventional representations such as images or 2D maps. We propose a solution that uses scene graphs as part of its input and integrates graph neural networks as its backbone, with an integrated task-driven attention mechanism, and demonstrate its better scalability and learning efficiency than state-of-the-art baselines.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10161157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10161157","","Automation;Navigation;Scalability;Graph neural networks;Task analysis;Observability;Artificial intelligence","","13","","71","IEEE","4 Jul 2023","29 May-2 June 2023","29 May-2 June 2023","IEEE","IEEE Conferences"
"Safety-Aware Unsupervised Skill Discovery","S. Kim; J. Kwon; T. Lee; Y. Park; J. Perez","NAVER LABS, Gyeonggi-do, South Korea; NAVER LABS, Gyeonggi-do, South Korea; NAVER LABS, Gyeonggi-do, South Korea; NAVER LABS, Gyeonggi-do, South Korea; NAVER LABS Europe, Meylan, France",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","894","900","Programming manipulation behaviors can become increasingly difficult with a growing number and complexity of manipulation tasks, particularly in a dynamic and unstructured environment. Recent progress in unsupervised skill discovery algorithms has shown great promise in learning an extensive collection of behaviors without extrinsic supervision. On the other hand, safety is one of the most critical factors for real- world robot applications. As skill discovery methods typically encourage exploratory and dynamic behaviors, it can often be the case that a large portion of learned skills remain too dangerous and unsafe. In this paper, we introduce the novel problem of Safety-Aware Skill Discovery, which aims to learn, in a task-agnostic fashion, a repertoire of reusable skills that are inherently safe to be composed for solving downstream tasks. We present a computationally tractable algorithm that learns a latent-conditioned skill policy that maximizes intrinsic rewards regularized with a safety-critic that can model any user-defined safety constraints. Using the pretrained safe skill repertoire, hierarchical reinforcement learning can solve multiple downstream tasks without the need for explicit consideration of safety during training and testing. We evaluate our algorithm on a collection of force-controlled robotic manipulation tasks in simulation and show promising downstream task performance while satisfying safety constraints.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160985","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160985","","Training;Heuristic algorithms;Reinforcement learning;Programming;Safety;Behavioral sciences;Dynamic programming","","4","","28","IEEE","4 Jul 2023","29 May-2 June 2023","29 May-2 June 2023","IEEE","IEEE Conferences"
"Learning Risk-Aware Costmaps via Inverse Reinforcement Learning for Off-Road Navigation","S. Triest; M. G. Castro; P. Maheshwari; M. Sivaprakasam; W. Wang; S. Scherer","Robotics Institute, Carnegie Mellon University, Pittsburgh, PA, USA; Robotics Institute, Carnegie Mellon University, Pittsburgh, PA, USA; Department of Mathematics, Indian Institute of Technology Kharagpur; Robotics Institute, Carnegie Mellon University, Pittsburgh, PA, USA; Robotics Institute, Carnegie Mellon University, Pittsburgh, PA, USA; Robotics Institute, Carnegie Mellon University, Pittsburgh, PA, USA",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","924","930","The process of designing costmaps for off-road driving tasks is often a challenging and engineering-intensive task. Recent work in costmap design for off-road driving focuses on training deep neural networks to predict costmaps from sensory observations using corpora of expert driving data. However, such approaches are generally subject to over-confident mis-predictions and are rarely evaluated in-the-loop on physical hardware. We present an inverse reinforcement learning-based method of efficiently training deep cost functions that are uncertainty-aware. We do so by leveraging recent advances in highly parallel model-predictive control and robotic risk estimation. In addition to demonstrating improvement at reproducing expert trajectories, we also evaluate the efficacy of these methods in challenging off-road navigation scenarios. We observe that our method significantly outperforms a geometric baseline, resulting in 44% improvement in expert path reconstruction and 57% fewer interventions in practice. We also observe that varying the risk tolerance of the vehicle results in qualitatively different navigation behaviors, especially with respect to higher-risk scenarios such as slopes and tall grass.33More detailed algorithms and additional visualizations are provided in the appendix Appendix (appendix link: tinyurl.com/mtkj63e8)","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10161268","ARL(grant numbers:W911NF1820218,W911NF20S0005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10161268","","Training;Learning systems;Navigation;Neural networks;Reinforcement learning;Robot sensing systems;Hardware","","26","","45","IEEE","4 Jul 2023","29 May-2 June 2023","29 May-2 June 2023","IEEE","IEEE Conferences"
"Enforcing the consensus between Trajectory Optimization and Policy Learning for precise robot control","Q. L. Lidec; W. Jallet; I. Laptev; C. Schmid; J. Carpentier","Inria - Departement d'Informatique de l'Ecole normale supérieure, PSL Research University; Inria - Departement d'Informatique de l'Ecole normale supérieure, PSL Research University; Inria - Departement d'Informatique de l'Ecole normale supérieure, PSL Research University; Inria - Departement d'Informatique de l'Ecole normale supérieure, PSL Research University; Inria - Departement d'Informatique de l'Ecole normale supérieure, PSL Research University",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","946","952","Reinforcement learning (RL) and trajectory opti-mization (TO) present strong complementary advantages. On one hand, RL approaches are able to learn global control policies directly from data, but generally require large sample sizes to properly converge towards feasible policies. On the other hand, TO methods are able to exploit gradient-based information extracted from simulators to quickly converge towards a locally optimal control trajectory which is only valid within the vicinity of the solution. Over the past decade, several approaches have aimed to adequately combine the two classes of methods in order to obtain the best of both worlds. Following on from this line of research, we propose several improvements on top of these approaches to learn global control policies quicker, notably by leveraging sensitivity information stemming from TO methods via Sobolev learning, and Augmented Lagrangian (AL) techniques to enforce the consensus between TO and policy learning. We evaluate the benefits of these improvements on various classical tasks in robotics through comparison with existing approaches in the literature.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160387","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160387","","Sensitivity;Automation;Robot control;Optimal control;Reinforcement learning;Robot sensing systems;Data mining","","3","","30","IEEE","4 Jul 2023","29 May-2 June 2023","29 May-2 June 2023","IEEE","IEEE Conferences"
